Date,League,Season,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeCoach,AwayCoach,Bet365_1,Bet365_X,Bet365_2,Pinnacle_1,Pinnacle_X,Pinnacle_2,WilliamHill_1,WilliamHill_X,WilliamHill_2
08/08/2015,Premier League,2015-2016,Bournemouth,Aston Villa,0,1,2,Eddie Howe,Tim Sherwood,2,3.6,4,1.95,3.65,4.27,1.91,3.5,4
08/08/2015,Premier League,2015-2016,Chelsea,Swansea,2,2,X,Jose Mourinho,Garry Monk,1.36,5,11,1.39,4.92,10.39,1.4,4,10
08/08/2015,Premier League,2015-2016,Everton,Watford,2,2,X,Roberto Martinez,Quique Sanchez Flores,1.7,3.9,5.5,1.7,3.95,5.62,1.73,3.5,5
08/08/2015,Premier League,2015-2016,Leicester,Sunderland,4,2,1,Claudio Ranieri,Dick Advocaat,1.95,3.5,4.33,1.99,3.48,4.34,2,3.1,2.7
08/08/2015,Premier League,2015-2016,Man United,Tottenham,1,0,1,Louis van Gaal,Mauricio Pochettino,1.65,4,6,1.65,4.09,5.9,1.62,3.6,6
08/08/2015,Premier League,2015-2016,Norwich,Crystal Palace,1,3,2,Alex Neil,Alan Pardew,2.55,3.3,3,2.52,3.35,3.08,2.6,3.1,2.88
09/08/2015,Premier League,2015-2016,Arsenal,West Ham,0,2,2,Arsene Wenger,Slaven Bilic,1.29,6,12,1.31,5.75,12,1.3,5,11
09/08/2015,Premier League,2015-2016,Newcastle,Southampton,2,2,X,Steve McClaren,Ronald Koeman,2.88,3.3,2.7,2.88,3.33,2.69,2.7,3.1,2.7
09/08/2015,Premier League,2015-2016,Stoke,Liverpool,0,1,2,Mark Hughes,Brendan Rodgers,3.4,3.4,2.3,3.48,3.46,2.25,3.3,3.1,2.3
10/08/2015,Premier League,2015-2016,West Brom,Man City,0,3,2,Tony Pulis,Manuel Pellegrini,5.75,4,1.67,5.75,3.98,1.68,5.5,3.5,1.7
14/08/2015,Premier League,2015-2016,Aston Villa,Man United,0,1,2,Tim Sherwood,Louis van Gaal,5.5,3.8,1.73,5.66,3.83,1.72,5.5,3.6,1.75
15/08/2015,Premier League,2015-2016,Southampton,Everton,0,3,2,Ronald Koeman,Roberto Martinez,1.95,3.6,4.33,1.98,3.6,4.21,2,3.25,4
15/08/2015,Premier League,2015-2016,Sunderland,Norwich,1,3,2,Dick Advocaat,Alex Neil,2.5,3.3,3.1,2.52,3.35,3.08,2.5,3,3
15/08/2015,Premier League,2015-2016,Swansea,Newcastle,2,0,1,Garry Monk,Steve McClaren,1.95,3.6,4.33,1.94,3.66,4.3,1.95,3.2,4.33
15/08/2015,Premier League,2015-2016,Tottenham,Stoke,2,2,X,Mauricio Pochettino,Mark Hughes,1.8,3.75,5,1.79,3.75,5.09,1.8,3.3,5
15/08/2015,Premier League,2015-2016,Watford,West Brom,0,0,X,Quique Sanchez Flores,Tony Pulis,2.3,3.4,3.4,2.25,3.41,3.54,2.3,3.2,3.2
15/08/2015,Premier League,2015-2016,West Ham,Leicester,1,2,2,Slaven Bilic,Claudio Ranieri,2.25,3.5,3.4,2.25,3.52,3.42,2.3,3.2,3.2
16/08/2015,Premier League,2015-2016,Crystal Palace,Arsenal,1,2,2,Alan Pardew,Arsene Wenger,5.25,3.9,1.73,5.34,3.97,1.72,5,3.5,1.75
16/08/2015,Premier League,2015-2016,Man City,Chelsea,3,0,1,Manuel Pellegrini,Jose Mourinho,2.1,3.5,3.75,2.08,3.56,3.87,2.15,3.2,3.6
17/08/2015,Premier League,2015-2016,Liverpool,Bournemouth,1,0,1,Brendan Rodgers,Eddie Howe,1.45,4.75,8,1.44,4.74,8.6,1.5,4.2,6.5
22/08/2015,Premier League,2015-2016,Crystal Palace,Aston Villa,2,1,1,Alan Pardew,Tim Sherwood,1.85,3.6,4.75,1.85,3.63,4.89,1.85,3.4,4.5
22/08/2015,Premier League,2015-2016,Leicester,Tottenham,1,1,X,Claudio Ranieri,Mauricio Pochettino,2.63,3.6,2.75,2.69,3.52,2.75,2.7,3.1,2.7
22/08/2015,Premier League,2015-2016,Man United,Newcastle,0,0,X,Louis van Gaal,Steve McClaren,1.36,5.25,10,1.39,5.15,9.62,1.36,5,8
